Name,Description,Latitude,Longitude,Layer,County
Taylor Meats (Equal-to),,44.9506702,-93.8634851,Meat_Processors,Carver
"U of M, Meat Science Lab (Equal-to)",,44.9818753,-93.1854699,Meat_Processors,Ramsey
Alsager Meats (USDA),,46.8615519,-95.9814389,Meat_Processors,Becker
"Alsleben Meats, LLC. (USDA)",,44.7708087,-94.1509366,Meat_Processors,McLeod
"Bruders Abbatoir, LLC (USDA)",,45.5837109,-95.0387238,Meat_Processors,Pope
Lonsdale Fresh Meat (USDA),,44.5007936,-93.4159194,Meat_Processors,Rice
South Forty Meat Market (USDA),,44.4103497,-95.410277,Meat_Processors,Redwood
Northern MN Meat Co. (USDA),,47.4897032,-92.739839,Meat_Processors,St. Louis
"McDonald's Meats, Inc. (USDA)",,45.4446675,-93.9985931,Meat_Processors,Sherburne
New Geneva Meats & Processing Inc. (USDA),,43.8236331,-93.2671247,Meat_Processors,Freeborn
St. Joseph Meat Market (USDA),,45.5652652,-94.3198509,Meat_Processors,Stearns
Lorentz Etc. Inc. (USDA),,44.5384466,-92.9104958,Meat_Processors,Goodhue
"Dover Processing, Inc. (USDA)",,43.9692414,-92.1381959,Meat_Processors,Olmsted
"Conger Meat Market, LLC (USDA)",,43.6143571,-93.5291358,Meat_Processors,Freeborn
"Prairie Meats, Inc. (USDA)",,44.7774767,-95.02292,Meat_Processors,Renville
Miltona Custom Meats & Sausages (USDA),,46.0455409,-95.2864012,Meat_Processors,Douglas
Burt's Meat & Poultry (USDA),,43.9880155,-92.2289324,Meat_Processors,Olmsted
Huettl's Locker & Dressing Plant (USDA),,44.4630224,-92.2875595,Meat_Processors,Wabasha
"Lake Haven Custom Meat Processing, LLC (USDA)",,46.4032927,-92.7122446,Meat_Processors,Carlton
Clean Chickens and Co. (USDA),,45.3201446,-93.5492678,Meat_Processors,Sherburne
Hidden Stream Farm,,44.1344538,-92.1944151,Current_Nodes,Wabasha
Willow Sedge Farm,,46.809805,-93.363065,Current_Nodes,Aitkin
Wabasha,,44.3754518,-92.0236059,Current_Nodes,Wabasha
Madison,,45.0113787,-96.1932176,Current_Nodes,Lac qui Parle
Finland,,47.4140821,-91.2461985,Current_Nodes,Lake
Red Wing,,44.5660691,-92.5369563,Current_Nodes,Goodhue
The Good Acre,,44.9903716,-93.1671488,BM,Ramsey
"Sprout MN - Growers & Makers Marketplace, Food Hub, Licensed Kitchens",,45.9909316,-94.3482739,BM,Morrison
Northland Community Schools,"Remer, MN",47.0560649,-93.9160687,Ag_schools,Itasca
Staples-Motley School District Office,,46.3633794,-94.7947577,Ag_schools,Wadena
Point 115,,47.6776368,-91.7076743,Ag_schools,Lake
Village Agricultural Cooperative ,,44.0750107,-92.5110823,Inc_F,Olmsted
Big River Farms,,45.168529,-92.816191,Inc_F,Washington
HAFA Farm,,44.6533317,-93.0059204,Inc_F,Dakota
New Roots,"10642 50th St N, Felton, MN 56536",47.000844,-96.688345,Inc_F,Clay
Reads Landing Brewery,,44.402734,-92.0788345,Buyers,Wabasha
Harbor View Cafe,,44.4388107,-92.146751,Buyers,Wabasha
Herb + Arrow,,44.3846618,-92.0333844,Buyers,Wabasha
River Valley Academy,,44.3095926,-92.0017079,Buyers,Wabasha
Bluff View Elementary School,,44.4360209,-92.274509,Buyers,Wabasha
Hop Dish and Vine,,44.4836904,-92.2618276,Buyers,Wabasha
Lincoln High School,,44.4445728,-92.2665783,Buyers,Wabasha
Red Wing Farmers' Market,,44.5661923,-92.5370475,Buyers,Goodhue
CARE Clinic,,44.5590707,-92.5379777,Buyers,Goodhue
Lake City School District,,44.4445728,-92.2665783,Buyers,Wabasha
Cannon Falls High School and Middle School,,44.5117434,-92.8896111,Buyers,Goodhue
Red Wing Public Schools,,44.5350934,-92.5143885,Buyers,Goodhue
Maccray Elementary and High School,,44.9569047,-95.3747969,Buyers,Chippewa
BBE Belgrade Elementary School,,45.5021322,-95.1301022,Buyers,Pope
BBE Belgrade High School,,45.4469626,-95.0030962,Buyers,Kandiyohi
Willmar Elementary School,,45.1137552,-95.0514281,Buyers,Kandiyohi
Willmar Middle School,,45.1123796,-95.0394682,Buyers,Kandiyohi
Willmar High School,,45.1517598,-95.0049866,Buyers,Kandiyohi
Morris Elementary School,,45.58421,-95.9024936,Buyers,Stevens
Morris High School,,45.5820604,-95.9001602,Buyers,Stevens
Discovery Middle School,,45.8975108,-95.3530667,Buyers,Douglas
Alexandria High School,,45.854577,-95.3643597,Buyers,Douglas
Glacial Hills Elementary School,,45.613572,-95.539486,Buyers,Pope
Alexandria Elementary School,,45.8767011,-95.3554619,Buyers,Douglas
East Range Academy-Technology,,47.5232582,-92.5877838,Buyers,St. Louis
Virginia Market Square,,47.5229511,-92.5461404,Buyers,St. Louis
Grand Itasca Clinic and Hospital,,47.2231689,-93.5556838,Buyers,Itasca
Nopo Coffee Co.,,47.2099598,-93.5233242,Buyers,Itasca
Rapids Brewing Co.,,47.2342847,-93.5279039,Buyers,Itasca
Unwined Up North,,47.2350951,-93.5271978,Buyers,Itasca
Greenway High School,,47.2884433,-93.4256433,Buyers,Itasca
Grand Rapids High School,,47.2471856,-93.5424032,Buyers,Itasca
Deer River High School,,47.3340178,-93.7912904,Buyers,Itasca
HIbbing Elementary School,,47.4039219,-92.9396712,Buyers,Itasca
Nashwauk-Keewatin School District,,47.3756752,-93.1665725,Buyers,Itasca
Keewatin Elementary School,,47.3999176,-93.0801391,Buyers,Itasca
Grand Rapids Farmers' Market,,47.2216268,-93.5297531,Buyers,Itasca
Grand Village,,47.2483527,-93.5629763,Buyers,Itasca
Aitkin Farmers' Market,,46.5153043,-93.7060239,Buyers,Aitkin
Crow Wing Food Coop,,46.3555838,-94.1994179,Buyers,Crow Wing
The Joint - Tavern & Eatery,,46.399157,-93.7486768,Buyers,Aitkin
Block North Brew Pub,,46.5345567,-93.706463,Buyers,Aitkin
Aitkin High School,,46.5336663,-93.7112175,Buyers,Aitkin
Rippleside Elementary School,,46.5273969,-93.7105281,Buyers,Aitkin
Hill City School,,46.9925994,-93.6046524,Buyers,Itasca
Riverwood Same Day Clinic,,46.5294876,-93.6986705,Buyers,Aitkin
LifeGate Services ,,44.0359247,-92.4496728,Buyers,Olmsted
Listos Preschool & Childcare ,,44.0374679,-92.4600429,Buyers,Olmsted
OpenTable (Zumbro Lutheran Church) ,,44.0163581,-92.4669903,Buyers,Olmsted
Pamoja Women,,44.0144622,-92.4599425,Buyers,Olmsted
People of Hope Church (ELCA) ,,44.0210285,-92.5204521,Buyers,Olmsted
Zumbro Ridge Estates ,,44.0798867,-92.4531811,Buyers,Olmsted
Brainerd Public School District,,46.3259522,-94.1442531,Buyers,Crow Wing
Crosby-Ironton Public School District,,46.5619714,-94.0053927,Buyers,Crow Wing
Crosslake Community School,,46.672494,-94.1078516,Buyers,Crow Wing
St Cloud Area School District 742,,45.549554,-94.2333177,Buyers,Stearns
Sauk Rapids-Rice Public Schools Independent School District 47,,45.6096888,-94.1258613,Buyers,Benton
Staples-Motley School District,,46.3425185,-94.7098916,Buyers,Wadena
Crow Wing Food Co-Op,,46.3555838,-94.1994178,Buyers,Crow Wing
Seeds of Sommer,,46.6031911,-94.310366,Buyers,Crow Wing
B-Merri at The Woods,,46.4371462,-94.1706225,Buyers,Crow Wing
Notch 8,,46.3572696,-94.1868766,Buyers,Crow Wing
Baia Della Italian Kitchen,,46.3710362,-94.2467991,Buyers,Crow Wing
Ciao Thyme,,45.9757603,-94.362207,Buyers,Morrison
A.T. The Black & White,,45.9758797,-94.3631439,Buyers,Morrison
Iron Range Eatery,,46.4822601,-93.9527281,Buyers,Crow Wing
Grand View Lodge Spa and Golf Resort,,46.4944347,-94.3143575,Buyers,Crow Wing
Bar Harbor Pontoon Rentals,,46.5079257,-94.3497075,Buyers,Crow Wing
Lakewood Health System,,46.351645,-94.7513312,Buyers,Wadena
Moorhead Node,,46.8722711,-96.7675662,Pot_Nodes,Clay
Red Wing Hub - Cannon Falls ,,44.5069113,-92.905484,Pot_Nodes,Goodhue
Willmar,,45.1223711,-95.048659,Pot_Nodes,Kandiyohi
Grand Rapids,,47.2297044,-93.5302188,Pot_Nodes,Itasca
Gilby's Nursery & Orchard,,46.6055806,-93.4792176,Pot_Nodes,Aitkin
Mountain Iron,,47.5324267,-92.623515,Pot_Nodes,St. Louis
Lino Lakes,,45.1602442,-93.0888324,Pot_Nodes,Anoka
